Centre Name,Total,Aggregate,
0135-SAMBHAR-C,1,0.00007376,
0449-CHHIPADI,3,0.00022127,
0195-BHIMRAV NAGAR,3,0.00022127,
0405-SARASPUR MILL NI CHALI,1,0.00007376,
0377-SAWAPURA,8,0.00059006,
0231-JAY NAGAR,2,0.00014751,
0297-LIMBONI BAUG - 17,3,0.00022127,
0184-VIKRAM NAGAR 02,11,0.00081133,
0609-KRISHNAPURA PIPLATA,1,0.00007376,
0479-JAY YOGESHWAR NAGAR-2,5,0.00036879,
0564-SANJOD NAGAR,5,0.00036879,
0205-BHIMWADI-01,2,0.00014751,
0361-DATT MANDIR-1,5,0.00036879,
0101-CHHIPIYAL,2,0.00014751,
0090-FAGNI,4,0.00029503,
0181-KILLEMCHINDAR GAD 07,9,0.00066381,
0081-BHADAWA-B,9,0.00066381,
0492-SHAHPURA-4,1,0.00007376,
0147-KACHNAR-A,1,0.00007376,
0474-DUDHVALI CHALI-2,7,0.0005163,
0035-TUPARI-2,10,0.00073757,
0315-SHENOLI 04,10,0.00073757,
0004-KOROCHI SIDDHARTH NAGAR-02,7,0.0005163,
0142-TAKWADE-05,12,0.00088509,
0531-JIVANWADI,3,0.00022127,
0312-LAL CHAKKI-6,5,0.00036879,
0020-GOVINDWADI - 2,6,0.00044254,
0041-BHILWADI STATION 02,1,0.00007376,
0152-ABHAR FATA 01,3,0.00022127,
0125-LUNVA-A,2,0.00014751,
0140-VADANGE 06,1,0.00007376,
0211-MADHAV NAGAR 11,9,0.00066381,
0058-ANKALKHOP 01,2,0.00014751,
0244-JOSHIBAG-10,3,0.00022127,
0106-HIRANANDANI-05,6,0.00044254,
0191-UCHGAON 12,1,0.00007376,
0024-MALGOAN 06,5,0.00036879,
0158-SHASTRI CHOUK 01,6,0.00044254,
0083-SANGTEDA-B,1,0.00007376,
0230-ASHTA-18,7,0.0005163,
0054-NAGTHANE 01,3,0.00022127,
0241-RAMDEV NAGAR,2,0.00014751,
0110-HALSAWADE 01,3,0.00022127,
0208-SHANIVAR PETH 04,3,0.00022127,
0091-KARNAL NAKA 01,1,0.00007376,
0359-DIVYA NAGAR,4,0.00029503,
0216-NAYA NAGAR-C,5,0.00036879,
0007-MALGAON-02,4,0.00029503,
0541-SHAHPURA,1,0.00007376,
0383-SN AYESHA SCHOOL-02,9,0.00066381,
0251-KILLE MACHHINDRAGAD-08,8,0.00059006,
0117-BHUYE 02,1,0.00007376,
0200-JAVOL-5,7,0.0005163,
0344-KHUNTAVALI-8,1,0.00007376,
0084-NANDHAJI KI DHANI,1,0.00007376,
0219-BURJA KI DHANI C,6,0.00044254,
0156-KARANA-C,7,0.0005163,
0335-NEW LOKMANYA NAGAR,1,0.00007376,
0225-DINDIVES 02,5,0.00036879,
0311-DHAMANI (MOTI KATADI),5,0.00036879,
0306-KALAMWADI-05,10,0.00073757,
0338-LALPURA-C,5,0.00036879,
0046-VAGHAJAIWADI-02,7,0.0005163,
0170-MHADA COLONY KANJUR-01,4,0.00029503,
0102-KAMERI 08,5,0.00036879,
0328-PRAGPURA-L,2,0.00014751,
0192-VITAVA-4,1,0.00007376,
0266-BASTWAD-01,3,0.00022127,
0228-DUDHNATH MAHADEV NI CHALI VADAJ,10,0.00073757,
0383-SARDAR NAGAR BHIL WAS,2,0.00014751,
0338-ANANDWADI - 18,4,0.00029503,
0292-DAHA CHAWL 13,2,0.00014751,
0004-MASUR-02,5,0.00036879,
0199-BAHADURWADI 04,11,0.00081133,
0123-RAVNAPURA,3,0.00022127,
0119-SAKHARALE 07,9,0.00066381,
0139-KILL MACHHINDRAGAD 03,11,0.00081133,
0306-VANGI BOL 01,3,0.00022127,
0276-PANCHSHIL NAGAR 07,1,0.00007376,
0452-SHIV SHAKTI NAGAR,4,0.00029503,
0229-AMBEDKAR NAGAR - 5,10,0.00073757,
0278-SAWALWADI 01,6,0.00044254,
0276-SAIJPUR BOGHA,2,0.00014751,
0319-SONTAKE TALIM 01,1,0.00007376,
0173-KALE 02,8,0.00059006,
0255-KAGJIWARA-E,1,0.00007376,
0379-NEW ADARSH COLONY,1,0.00007376,
0025-PAL-05,3,0.00022127,
0360-HANUMAN NAGAR-18,2,0.00014751,
0217-PHULERA KUMHAR MOHALLA,1,0.00007376,
0337-DANI LIMDA,7,0.0005163,
0263-BIRLA COLLEGE-03,6,0.00044254,
0013-AMBEDKAR NAGAR - 1,3,0.00022127,
0135-GHOGAON 01,3,0.00022127,
0299-RUPSINH ZALA NI CHALI,1,0.00007376,
0203-KOROCHI 12,5,0.00036879,
0132-BAGANI 01,4,0.00029503,
0313-PARSNAL-2,7,0.0005163,
0295-ANGALIYA DUNGARI FALIYU-2,4,0.00029503,
0162-SHIROL 04,1,0.00007376,
0340-JAYSINGPUR 34,5,0.00036879,
0294-KHATIPURA,1,0.00007376,
0596-GOKALPURA TALAV PASE,2,0.00014751,
0207-VADELAV-5,1,0.00007376,
0277-ROSHNI SOCIETY,4,0.00029503,
0118-E-SECTOR-04,3,0.00022127,
0086-KAVALAPUR 07,10,0.00073757,
0407-HIRAPURA TORNA-4,5,0.00036879,
